Units,CMGP_Cox_p1,CMGP_Cox_p2,CMGP_Cox_p3,Actual_Failure_Mode,DeepSurv_p1,DeepSurv_p2,DeepSurv_p3,DeepBranched_p1,DeepBranched_p2,DeepBranched_p3,NN_joint_p1,NN_joint_p2,NN_joint_p3
11.0,1.0,0.0,0.0,1.0,0.8,0.0,0.2,1.0,1.2100702e-36,0.0,0.84,0.08,0.08
12.0,1.0,0.0,0.0,1.0,0.96,0.0,0.04,1.0,2.775369e-35,0.0,0.88,0.12,0.0
13.0,1.0,0.0,0.0,1.0,0.92,0.04,0.04,1.0,1.4328057999999999e-37,0.0,0.8,0.04,0.16
14.0,1.0,0.0,0.0,1.0,0.8,0.0,0.2,1.0,3.152225e-39,0.0,0.68,0.08,0.24
15.0,1.0,0.0,0.0,1.0,0.84,0.04,0.12,1.0,1.5668691e-34,0.0,0.68,0.12,0.2
16.0,1.0,0.0,6.535375777918082e-41,1.0,0.84,0.0,0.16,1.0,6.295406e-39,0.0,0.72,0.12,0.16
17.0,1.0,0.0,9.091119969092256e-40,1.0,0.92,0.04,0.04,1.0,2.1149776999999998e-34,0.0,0.72,0.12,0.16
18.0,1.0,0.0,0.0,1.0,0.8,0.08,0.12,1.0,3.5013438000000004e-38,0.0,0.76,0.12,0.12
19.0,1.0,0.0,0.0,1.0,0.96,0.04,0.0,1.0,1.3136077e-38,0.0,0.92,0.08,0.0
20.0,1.0,0.0,0.0,1.0,0.92,0.0,0.08,1.0,1.6697023e-38,0.0,0.8,0.12,0.08
21.0,1.0,0.0,0.0,1.0,0.8,0.0,0.2,1.0,1.7838905999999998e-37,0.0,0.72,0.12,0.16
22.0,1.0,0.0,3.280365357693073e-35,1.0,0.92,0.0,0.08,1.0,1.4175367e-34,0.0,0.84,0.08,0.08
23.0,1.0,0.0,0.0,1.0,0.96,0.0,0.04,1.0,1.0910551e-33,0.0,0.88,0.08,0.04
24.0,1.0,0.0,0.0,1.0,0.88,0.0,0.12,1.0,2.1561467999999998e-36,0.0,0.84,0.04,0.12
25.0,1.0,0.0,0.0,1.0,0.8,0.04,0.16,1.0,1.2537223e-36,0.0,0.68,0.12,0.2
26.0,1.0,0.0,0.0,1.0,0.84,0.04,0.12,1.0,3.7206994e-37,0.0,0.72,0.12,0.16
27.0,1.0,0.0,0.0,1.0,0.8,0.08,0.12,1.0,6.8335826e-36,0.0,0.8,0.12,0.08
28.0,1.0,0.0,0.0,1.0,0.8,0.04,0.16,1.0,3.1857623999999998e-37,0.0,0.8,0.12,0.08
29.0,1.0,0.0,0.0,1.0,0.92,0.08,0.0,1.0,2.7609025e-35,0.0,0.76,0.16,0.08
30.0,1.0,0.0,0.0,1.0,0.92,0.04,0.04,1.0,7.78996e-40,0.0,0.88,0.08,0.04
41.0,0.0,1.0,5.222006716683749e-19,2.0,0.04,0.88,0.08,1.0,5.6842584e-09,9.676794e-28,0.0,0.92,0.08
42.0,0.0,1.0,0.0,2.0,0.04,0.88,0.08,0.99998724,1.2804937e-05,4.4339422e-26,0.0,1.0,0.0
43.0,0.0,1.0,1.0055063803563173e-18,2.0,0.0,0.92,0.08,1.0,7.6486e-12,2.8310578e-28,0.0,1.0,0.0
44.0,0.0,1.0,0.0,2.0,0.0,0.92,0.08,0.999998,2.0769637e-06,2.1463058e-26,0.0,1.0,0.0
45.0,0.0,1.0,8.703311708036811e-16,2.0,0.0,0.96,0.04,1.0,1.2980647e-10,3.962554e-29,0.0,1.0,0.0
46.0,0.0,1.0,0.0,2.0,0.0,0.96,0.04,0.9999994,6.4356584e-07,2.8033340000000002e-25,0.0,0.96,0.04
47.0,0.0,1.0,4.879139318804753e-19,2.0,0.0,1.0,0.0,1.0,1.0996305e-08,6.726638e-28,0.0,1.0,0.0
48.0,0.0,1.0,2.586336965651622e-15,2.0,0.0,1.0,0.0,1.0,2.5092457e-09,3.3562748e-28,0.0,1.0,0.0
