unit number,B_i1_1,B_i1_2,B_i1_3,B_i2_1,B_i2_2,B_i2_3,failure time
1,2.5719657,0.10252473,0.014809154,1.7868565,0.114529654,0.01458352,39.67018
2,1.4304819,0.10026778,0.01032969,1.9167137,0.11670823,0.008499002,66.86067
3,1.0260295,0.10194864,0.009409023,1.5512755,0.11617759,0.014699899,75.69273
4,2.164624,0.09837148,0.009287074,1.6000066,0.11719916,0.009327222,43.865276
5,3.0307205,0.09911315,0.008818806,1.483827,0.11322525,0.013160572,66.25297
6,1.8198594,0.101017654,0.0099489605,1.8539258,0.11712985,0.012222823,49.646614
7,2.451365,0.101272695,0.0072190925,1.6013832,0.11334544,0.013806346,42.71245
8,1.8889331,0.100664824,0.011010422,1.9695265,0.11060993,0.015310483,69.5958
9,1.7690564,0.095723115,0.011728845,1.9907701,0.11135003,0.013154771,39.219677
10,2.470875,0.1017602,0.009370267,1.8466479,0.116095364,0.013287666,60.973537
11,3.6258965,0.10794463,0.0099677015,1.3627331,0.11416551,0.009915521,62.455032
12,2.4747484,0.09877728,0.010429078,1.4926624,0.11968379,0.013154849,75.767624
13,2.6283488,0.10265006,0.0076779714,1.762969,0.114221916,0.010817216,88.21854
14,1.7285198,0.09766745,0.009300878,1.5502715,0.12126856,0.011821974,53.860474
15,2.3149018,0.09689936,0.006790505,1.4814779,0.11530854,0.014742095,60.948
16,4.0698695,0.093735576,0.009556938,1.5155897,0.107502565,0.013421675,83.74159
17,1.8434365,0.100940466,0.01223853,1.9434996,0.11528759,0.012697632,66.33216
18,1.8883308,0.10258814,0.010742649,1.665398,0.111030206,0.011535974,48.28092
19,1.3035043,0.10165743,0.00803329,1.7342758,0.1183596,0.01329548,32.52735
20,2.1793342,0.10041252,0.010953126,1.6705482,0.11442148,0.012783696,70.41949
21,2.8394961,0.09255311,0.0075782184,1.6211294,0.11816379,0.013010224,68.304825
22,1.848597,0.100307554,0.00881518,1.9397293,0.11929202,0.009221019,93.8914
23,1.0045922,0.104718,0.0091816895,1.769556,0.11537337,0.016210368,75.035095
24,2.9885755,0.102681726,0.0100607,1.9934993,0.11932626,0.018589478,63.642788
25,2.1620314,0.09889807,0.01229568,1.7273661,0.11254911,0.012178069,68.38523
26,1.8300389,0.10452217,0.011895541,2.2786257,0.114950195,0.014181419,64.85801
27,3.7135632,0.09875519,0.010330745,1.4930354,0.1154822,0.01237776,51.07013
28,1.3016589,0.09485385,0.012555167,1.677645,0.1111945,0.013976508,73.62879
29,2.3658576,0.10430875,0.009973357,1.6282026,0.11298065,0.012491149,71.286835
30,3.1754904,0.103330545,0.009168699,1.5374296,0.11360048,0.013129379,77.05214
31,0.59410954,0.09686139,0.011597274,1.8219337,0.1125833,0.01303465,76.169525
32,2.925526,0.097382955,0.010218351,1.5509101,0.111085035,0.013515749,75.190186
33,2.0309684,0.098946564,0.011262211,1.3419678,0.11889997,0.01571742,73.92462
34,3.092689,0.10652393,0.008039402,1.845603,0.119524114,0.011383571,67.57675
35,2.6878388,0.10360022,0.013869585,1.7723116,0.11593611,0.012208211,85.040474
36,1.3719449,0.09671964,0.012841259,1.6166922,0.11602383,0.011867956,79.896736
37,2.3480735,0.098830745,0.0086013675,1.9183613,0.11387136,0.015386198,60.223354
38,2.0459125,0.10130173,0.008440862,1.4375651,0.11449145,0.010585588,47.281803
39,3.231834,0.094151795,0.010022154,1.5421431,0.11946956,0.010910076,64.51982
40,2.7040532,0.098878115,0.007232633,1.8395667,0.11133233,0.01265252,68.93677
41,2.01894,0.10264715,0.009292877,1.7486467,0.11614115,0.016202915,56.8385
42,2.2758107,0.09627651,0.008852818,1.4491662,0.11541787,0.010700521,36.052143
43,2.6169047,0.097172566,0.012459828,1.5312765,0.11658137,0.013950331,76.10618
44,1.5727379,0.1020957,0.009628999,1.2229152,0.117923416,0.010458732,64.42995
45,0.86276114,0.10479833,0.005900648,1.9738061,0.113080814,0.014964875,82.408356
46,0.8298795,0.10084476,0.0070218616,1.9596995,0.120814644,0.013802417,94.21732
47,1.770709,0.10539445,0.008751074,1.5048139,0.118352026,0.011861471,81.22654
48,2.2148256,0.1087518,0.008005869,1.7226447,0.12254477,0.013883055,70.76882
49,1.9622649,0.09986528,0.011453333,2.002304,0.11436016,0.014457362,85.236885
50,2.9114604,0.10197487,0.012614074,1.609917,0.11636072,0.013279098,72.23346
51,1.6748066,0.09974935,0.0074172877,1.6539845,0.11315403,0.01431271,76.71532
52,2.4926074,0.102601364,0.010186294,1.8996412,0.11299161,0.016703794,79.17262
53,2.000388,0.10079695,0.0069324225,2.1059146,0.11030215,0.011089187,33.368526
54,2.7860157,0.10487709,0.01210374,1.5434157,0.11528102,0.009446166,75.40783
55,2.5450785,0.09958511,0.011372908,1.5898019,0.11007492,0.013351542,92.9185
56,2.5753958,0.089032784,0.010951107,1.6185153,0.114924066,0.011032121,74.52738
57,2.8069975,0.099189125,0.0075241947,1.4664147,0.11513989,0.011564158,74.14148
58,2.1013162,0.099207364,0.005645958,1.6433429,0.10967538,0.013498875,81.50883
59,1.1362921,0.0933692,0.008761228,1.854316,0.11614156,0.015903763,79.78772
60,1.7451271,0.10472965,0.010425488,1.3978777,0.11408989,0.017901834,79.17682
