failure mode,unit number,"time, in cycles",sensor 1,sensor 2
2,61,1.0,3.5695615,1.3271184
2,61,2.0,3.3329713,3.2655597
2,61,3.0,1.9048629,2.47122
2,61,4.0,2.516045,3.0244632
2,61,5.0,1.099571,3.3574038
2,61,6.0,4.0308447,4.7539506
2,61,7.0,3.0964227,4.1316376
2,61,8.0,4.101281,4.9306207
2,61,9.0,4.722976,4.828693
2,61,10.0,5.6499124,6.342204
2,61,11.0,4.2714868,6.4407697
2,61,12.0,6.185092,8.153219
2,61,13.0,6.4950905,9.827587
2,61,14.0,6.319966,10.018876
2,61,15.0,6.9922915,11.408234
2,61,16.0,7.1328716,10.669844
2,61,17.0,7.444459,12.45236
2,61,18.0,10.79567,12.975203
2,61,19.0,11.103147,13.173726
2,61,20.0,12.202761,17.689396
2,61,21.0,11.216845,17.157206
2,61,22.0,10.060066,18.157177
2,61,23.0,11.202044,18.527586
2,61,24.0,15.278373,20.01625
2,61,25.0,15.7252445,22.767963
2,61,26.0,16.149128,24.220678
2,61,27.0,16.523153,25.484274
2,61,28.0,16.07407,26.919538
2,61,29.0,16.995495,27.26699
2,61,30.0,19.984823,30.038689
2,61,31.0,22.657408,32.39191
2,61,32.0,24.40337,34.56131
2,61,33.0,23.535717,34.17648
2,61,34.0,21.421486,36.250748
2,61,35.0,24.608173,37.609486
2,61,36.0,28.039356,41.80411
2,61,37.0,29.703623,42.483677
2,61,38.0,32.700012,43.1706
2,61,39.0,33.59281,44.603382
2,61,40.0,33.096268,47.48564
2,61,41.0,32.16695,48.257217
2,61,42.0,35.455288,50.832172
2,61,43.0,40.590824,55.3753
2,61,44.0,42.388615,55.931435
2,61,45.0,42.059807,57.091293
2,61,46.0,41.88488,59.43377
2,61,47.0,41.01969,63.247856
2,61,48.0,44.83864,64.50626
2,61,49.0,49.365547,65.89667
2,61,50.0,51.649055,69.17366
2,61,51.0,54.721924,71.590225
2,61,52.0,54.058266,73.63069
2,61,53.0,54.740467,75.63111
2,61,54.0,55.780437,78.50853
2,61,55.0,60.24731,82.62805
2,61,56.0,65.03653,83.57696
2,61,57.0,69.19224,86.5219
2,61,58.0,66.81538,89.66161
2,61,59.0,67.02891,93.03252
2,61,60.0,67.82141,93.13598
2,61,61.0,73.89875,97.21868
2,61,62.0,77.43366,99.43094
2,61,63.0,80.828514,101.27147
2,61,64.0,82.07245,105.38169
2,61,65.0,81.21827,108.17003
2,61,66.0,82.417206,111.33643
2,61,67.0,86.14911,114.57514
2,61,68.0,91.622314,116.43595
2,61,69.0,95.38071,119.50119
2,61,70.0,98.24819,122.7073
2,61,71.0,96.45748,126.538086
2,61,72.0,95.96112,130.30006
2,61,73.0,101.81648,132.32317
2,61,74.0,106.52426,136.22748
2,61,75.0,111.770935,139.13203
2,61,76.0,114.03241,142.77661
2,61,77.0,112.678566,145.64738
2,61,78.0,114.6533,149.06418
2,61,79.0,116.78905,151.93343
2,61,80.0,124.12671,156.13039
2,61,81.0,130.9604,158.08911
2,61,82.0,133.44281,160.34015
2,61,83.0,133.22879,166.53673
2,61,84.0,134.03543,169.1166
2,61,85.0,135.32866,171.9727
2,61,86.0,139.83499,175.06061
2,61,87.0,147.38428,179.0032
2,61,88.0,153.44543,184.05836
2,61,89.0,155.24792,186.82211
2,61,90.0,154.49678,192.76335
2,61,91.0,153.63432,194.58939
2,61,92.0,158.15065,199.93848
2,61,93.0,167.21361,203.15051
2,61,94.0,173.55162,205.79837
2,61,95.0,175.69234,210.3828
2,61,96.0,174.35803,213.76402
2,61,97.0,176.49496,218.35478
2,61,98.0,179.09486,222.59358
2,61,98.872604,187.2134,225.98259
2,62,1.0,1.1510372,2.9187992
2,62,2.0,1.3127382,2.4440074
2,62,3.0,0.957311,1.3052334
2,62,4.0,1.8113593,3.5222778
2,62,5.0,2.8343213,2.0290062
2,62,6.0,2.5461469,3.3699694
2,62,7.0,2.9164898,3.0784984
2,62,8.0,3.5845375,3.9113743
2,62,9.0,1.5309068,5.298863
2,62,10.0,2.1318815,6.2257156
2,62,11.0,3.743672,6.380381
2,62,12.0,4.8394713,6.8421087
2,62,13.0,5.6857843,8.248301
2,62,14.0,3.9666128,8.848003
2,62,15.0,4.98742,9.798646
2,62,16.0,4.2204523,9.7593975
2,62,17.0,5.758499,11.305638
2,62,18.0,7.7311635,11.755986
2,62,19.0,8.362363,13.08039
2,62,20.0,8.366515,13.220967
2,62,21.0,8.673601,15.248621
2,62,22.0,7.8683057,15.519631
2,62,23.0,8.6572485,17.288315
2,62,24.0,12.617033,18.128807
2,62,25.0,12.5038805,19.219927
2,62,26.0,13.032661,20.4953
2,62,27.0,12.527977,22.351852
2,62,28.0,14.311803,22.11734
2,62,29.0,13.732957,24.386742
2,62,30.0,17.237377,25.918486
2,62,31.0,19.475525,27.260527
2,62,32.0,20.985067,27.78709
2,62,33.0,19.53228,30.570408
2,62,34.0,20.166918,30.625732
2,62,35.0,18.389574,32.35212
2,62,36.0,19.668072,34.50001
2,62,37.0,25.282417,35.49471
2,62,38.0,27.034693,37.227604
2,62,39.0,24.396175,39.29112
2,62,40.0,25.749916,41.679977
2,62,41.0,26.480148,41.876995
2,62,42.0,28.802153,43.124657
2,62,43.0,32.913673,45.863583
2,62,44.0,35.28805,46.957363
2,62,45.0,35.61332,49.844845
2,62,46.0,33.098476,49.491497
2,62,47.0,34.725853,52.26504
2,62,48.0,38.097088,55.02643
2,62,49.0,41.695766,56.39053
2,62,50.0,43.89252,59.36947
2,62,51.0,44.753273,59.954967
2,62,52.0,43.799664,61.67508
2,62,53.0,43.68025,63.46492
2,62,54.0,46.426884,65.28674
2,62,55.0,51.210182,68.46215
2,62,56.0,53.306767,69.55925
2,62,57.0,56.243027,72.13483
2,62,58.0,54.92274,74.13292
2,62,59.0,54.70429,76.91755
2,62,60.0,54.654327,77.57665
2,62,61.0,60.32813,81.45729
2,62,62.0,65.25863,82.13384
2,62,63.0,68.68912,85.348495
2,62,64.0,67.85436,88.03184
2,62,65.0,68.08914,88.89403
2,62,66.0,67.014725,92.27359
2,62,67.0,70.82352,93.79737
2,62,68.0,76.44622,98.3536
2,62,69.0,81.84392,100.33216
2,62,70.0,82.493004,102.3627
2,62,71.0,82.76162,104.6209
2,62,72.0,81.82897,106.611404
2,62,73.0,82.96457,108.2468
2,62,74.0,89.5848,111.02422
2,62,75.0,94.18903,113.993355
2,62,76.0,97.04172,116.61945
2,62,77.0,96.304825,120.14192
2,62,78.0,95.12042,122.87554
2,62,79.0,96.69172,124.62989
2,62,80.0,103.407326,127.83943
2,62,81.0,110.0608,130.17036
2,62,82.0,112.51362,134.21098
2,62,83.0,113.11856,134.47906
2,62,84.0,111.63825,138.128
2,62,85.0,112.76403,140.63431
2,62,86.0,117.57817,144.6793
2,62,87.0,125.86398,147.08917
2,62,88.0,128.57104,151.13283
2,62,89.0,130.61743,154.71094
2,62,90.0,129.89458,155.72911
2,62,91.0,127.96669,159.44711
2,62,92.0,132.66774,161.6747
2,62,93.0,138.7169,165.8797
2,62,94.0,147.37967,167.84737
2,62,95.0,149.76875,170.16809
2,62,96.0,145.79599,173.71881
2,62,97.0,147.72867,177.98804
2,62,98.0,150.35355,180.28027
2,62,99.0,159.06781,182.81758
2,62,100.0,166.15001,186.05
2,62,101.0,167.6495,189.59514
2,62,102.0,167.94933,193.41795
2,62,103.0,166.8947,196.55334
2,62,104.0,170.16098,198.66629
2,62,105.0,175.88179,201.75235
2,62,106.0,183.95955,205.55998
2,62,107.0,189.98822,209.8433
2,62,108.0,189.50497,213.7921
2,62,109.0,187.04736,216.41808
2,62,110.0,188.8154,219.28357
2,62,111.0,195.8468,223.86894
2,62,112.0,205.13255,226.84512
2,62,113.0,210.00307,230.0229
2,62,114.0,211.649,232.32524
2,62,115.0,211.67845,238.12813
2,62,116.0,211.19499,241.2497
2,62,117.0,215.97926,244.13037
2,62,118.0,224.33847,248.18657
2,62,119.0,230.88237,250.43869
2,62,120.0,235.5653,256.0177
2,62,121.0,234.89601,257.7602
2,62,122.0,233.66562,263.5987
2,62,123.0,238.8481,267.86557
2,62,124.0,244.98883,270.2888
2,62,125.0,255.99667,272.99344
2,62,126.0,259.56747,277.41602
2,62,127.0,258.66235,281.1343
2,62,128.0,258.47412,284.85065
2,62,129.0,261.27567,290.51443
2,62,130.0,268.20853,293.24097
2,62,131.0,278.9281,297.1968
2,62,131.87195,286.07874,300.52753
2,63,1.0,2.9963768,0.4275595
2,63,2.0,2.5970206,2.0157647
2,63,3.0,2.7457778,3.8159435
2,63,4.0,3.1145372,2.1948535
2,63,5.0,3.456739,3.1453795
2,63,6.0,2.713977,3.590761
2,63,7.0,3.5903335,5.723977
2,63,8.0,3.489212,4.455481
2,63,9.0,2.230493,6.0996346
2,63,10.0,3.6930006,6.0007286
2,63,11.0,4.850742,5.840467
2,63,12.0,6.2352786,8.451771
2,63,13.0,5.049565,8.500046
2,63,14.0,5.470134,9.40896
2,63,15.0,4.759489,10.114724
2,63,16.0,4.9376664,11.15205
2,63,17.0,6.5743384,11.638915
2,63,18.0,6.822269,13.320033
2,63,19.0,9.197116,11.8876
2,63,20.0,9.167745,15.533989
2,63,21.0,8.545597,15.829825
2,63,22.0,8.45249,16.420208
2,63,23.0,8.428241,17.466108
2,63,24.0,11.212551,20.270327
2,63,25.0,13.268441,19.868462
2,63,26.0,13.059192,21.849165
2,63,27.0,12.62453,23.151688
2,63,28.0,12.338101,24.804152
2,63,29.0,12.680386,24.641447
2,63,30.0,15.839771,26.604057
2,63,31.0,17.514559,28.852886
2,63,32.0,19.21972,30.009323
2,63,33.0,17.325378,32.253452
2,63,34.0,17.079157,33.73294
2,63,35.0,18.005905,33.04176
2,63,36.0,20.094711,36.136242
2,63,37.0,23.21686,38.57907
2,63,38.0,24.02831,42.190193
2,63,39.0,24.52358,40.87128
2,63,40.0,22.761513,43.027363
2,63,41.0,22.778093,45.43142
2,63,42.0,25.333008,47.10709
2,63,43.0,29.947535,48.27329
2,63,44.0,31.622688,51.121876
2,63,45.0,31.54476,54.03631
2,63,46.0,31.711147,55.040516
2,63,47.0,31.3156,56.39396
2,63,48.0,32.69845,57.084858
2,63,49.0,36.694584,60.5281
2,63,50.0,40.13538,62.441162
2,63,51.0,39.752792,65.305565
2,63,52.0,39.391163,67.34677
2,63,53.0,37.905735,68.690216
2,63,54.0,38.164364,69.93384
2,63,55.0,45.27346,73.47226
2,63,56.0,48.046227,74.61059
2,63,57.0,50.123165,77.71167
2,63,58.0,50.70479,80.650024
2,63,59.0,46.994404,83.3415
2,63,60.0,48.883244,85.78227
2,63,61.0,53.20352,87.439
2,63,62.0,56.5246,90.70404
2,63,63.0,59.600994,93.04921
2,63,64.0,60.62286,94.77926
2,63,65.0,56.96161,97.36047
2,63,66.0,56.464146,99.73848
2,63,67.0,61.37312,102.72254
2,63,68.0,67.64387,105.707756
2,63,69.0,72.07946,107.83635
2,63,70.0,69.804436,109.861465
2,63,71.0,69.3221,112.70914
2,63,72.0,69.86912,116.58004
2,63,73.0,73.03572,119.10782
2,63,74.0,79.30229,122.35808
2,63,75.0,81.43164,126.342064
2,63,76.0,84.174164,128.11803
2,63,77.0,82.69555,130.3547
2,63,78.0,82.1237,134.82976
2,63,79.0,84.825806,136.37163
2,63,80.0,88.797485,140.2535
2,63,81.0,94.03357,143.24017
2,63,82.0,97.88114,145.81465
2,63,83.0,96.36666,148.9792
2,63,84.0,95.46731,152.02019
2,63,85.0,95.61157,156.45973
2,63,86.0,102.62322,158.33318
2,63,87.0,106.414665,160.81882
2,63,88.0,111.2628,165.38788
2,63,89.0,112.0735,167.4206
2,63,90.0,109.26825,171.40495
2,63,91.0,108.51574,175.61029
2,63,92.0,115.79637,177.63957
2,63,93.0,120.97417,180.48145
2,63,94.0,126.275734,185.96873
2,63,95.0,127.9566,187.54436
2,63,96.0,127.43329,190.86192
2,63,97.0,125.0557,194.66728
2,63,98.0,127.32761,198.49603
2,63,99.0,134.83371,202.37836
2,63,100.0,143.05731,205.237
2,63,101.0,145.53893,208.06499
2,63,102.0,143.20929,213.09206
2,63,103.0,141.80138,216.76532
2,63,104.0,143.85875,220.22049
