Unit,CMGP-Cox,NN_joint(ideal),NN_joint(mis)
51,0.9787233471870422,0.8510637879371643,0.7872340083122253
52,1.0,0.0270270276814699,0.0270270276814699
53,0.8148148059844971,1.0,1.0
54,0.9555555582046508,0.0222222227603197,0.0222222227603197
55,0.9761905074119568,0.0238095242530107,0.0238095242530107
56,0.9111111164093018,0.6000000238418579,0.5111111402511597
57,0.9411765336990356,1.0,1.0
58,0.9056603908538818,1.0,1.0
59,0.9999999403953552,0.0243902429938316,0.0243902429938316
60,1.0,0.03125,0.03125
111,0.9545454978942872,0.0151515156030654,0.0151515156030654
112,0.7906976938247681,0.0116279069334268,0.0116279069334268
113,0.7582417726516724,0.0109890112653374,0.0109890112653374
114,0.7954545617103577,0.0113636367022991,0.0113636367022991
115,0.8214285969734192,0.0595238097012043,0.0714285746216774
116,0.8961039185523987,0.0259740259498357,0.0129870129749178
117,0.8414633870124817,0.0121951214969158,0.0121951214969158
118,0.9066666960716248,0.0133333336561918,0.0133333336561918
119,0.736842155456543,0.0105263162404298,0.0105263162404298
120,0.95774644613266,0.0140845067799091,0.1690140813589096
