unit,DeepSurv_p1,DeepSurv_p2,DeepBranched_p1,DeepBranched_p2,NN_joint_ideal_p1,NN_joint_ideal_p2,NN_joint_mis_p1,NN_joint_mis_p2,CMGP_Cox_p1,CMGP_Cox_p2,Actual_Failure_Mode
51,0.85,0.15,0.9999857,1.43075495e-05,0.85,0.15,0.85,0.15,0.9952698945999146,0.0047300965525209,1.0
52,0.65,0.35,0.99999917,8.8726654e-07,0.6,0.4,0.6,0.4,0.991333782672882,0.0086662173271179,1.0
53,0.75,0.25,0.94796354,0.052036513,0.85,0.15,0.85,0.15,0.9998744130134584,0.0001255915412912,1.0
54,0.05,0.95,0.099655926,0.900344,0.2,0.8,0.2,0.8,0.9998844861984252,0.0001155704958364,1.0
55,0.3,0.7,0.31567883,0.6843211,0.45,0.55,0.45,0.55,0.7463781833648682,0.2536217868328094,1.0
56,0.4,0.6,0.018692851,0.98130715,0.5,0.5,0.5,0.5,0.9827123880386353,0.0172876194119453,1.0
57,0.35,0.65,0.99512535,0.004874617,0.6,0.4,0.6,0.4,0.9995415806770324,0.0004583929548971,1.0
58,0.8,0.2,0.99999726,2.698504e-06,0.75,0.25,0.75,0.25,0.9993483424186708,0.0006516227731481,1.0
59,1.0,0.0,0.9996451,0.0003548804,0.95,0.05,0.95,0.05,0.9999396204948424,6.035796468495391e-05,1.0
60,0.85,0.15,0.99996924,3.070155e-05,0.8,0.2,0.8,0.2,0.9999917149543762,8.275771506305318e-06,1.0
111,0.0,1.0,9.358733e-06,0.9999906,0.05,0.95,0.05,0.95,0.0182394105941057,0.981760561466217,2.0
112,0.35,0.65,0.00022381252,0.9997762,0.6,0.4,0.6,0.4,0.4047823548316955,0.5952176451683044,2.0
113,0.55,0.45,0.0020037529,0.9979963,0.6,0.4,0.6,0.4,0.146391674876213,0.8536083698272705,2.0
114,0.0,1.0,1.5305148e-05,0.99998474,0.1,0.9,0.1,0.9,0.0073001044802367,0.9926998615264891,2.0
115,0.65,0.35,0.0029203366,0.9970797,0.65,0.35,0.65,0.35,0.0096235126256942,0.9903765320777892,2.0
116,0.05,0.95,8.351414e-06,0.99999166,0.15,0.85,0.15,0.85,0.0075942766852676,0.9924057126045228,2.0
117,0.1,0.9,7.33475e-06,0.9999926,0.15,0.85,0.15,0.85,3.1391075481224107e-06,0.9999969005584716,2.0
118,0.15,0.85,2.7130267e-05,0.9999728,0.15,0.85,0.15,0.85,0.1521905064582824,0.8478095531463623,2.0
119,0.05,0.95,0.00016247701,0.9998375,0.2,0.8,0.2,0.8,0.0023964769206941,0.9976035356521606,2.0
120,0.25,0.75,5.4936945e-06,0.9999945,0.25,0.75,0.25,0.75,0.0021734819747507,0.9978265762329102,2.0
