Unit,CMGP-Cox,NN_joint(ideal)
51,1.0,0.824999988079071
52,1.0,0.03125
53,0.8936169743537903,0.9999999403953552
54,1.0,0.5789473652839661
55,1.0,0.0285714287310838
56,1.0,0.5789473652839661
57,1.0,1.0
58,1.0,1.0
59,1.0,0.0285714287310838
60,1.0,0.0357142873108387
111,0.0169491525739431,0.0169491525739431
112,0.8607594966888428,0.0126582281664013
113,0.773809552192688,0.0119047621265053
114,0.8271604776382446,0.0123456791043281
115,0.8441558480262756,0.064935065805912
116,0.9285714626312256,0.4285714328289032
117,0.8799999952316284,0.1866666674613952
118,0.9558823704719543,0.4411764740943908
119,0.75,0.0113636367022991
120,1.0,0.46875
