unit,DeepSurv_p1,DeepSurv_p2,DeepBranched_p1,DeepBranched_p2,NN_joint_ideal_p1,NN_joint_ideal_p2,NN_joint_mis_p1,NN_joint_mis_p2,CMGP_Cox_p1,CMGP_Cox_p2,Actual_Failure_Mode
51,0.96,0.04,1.0,1.016703e-08,0.96,0.04,0.96,0.04,1.0,0.0,1.0
52,0.9066666666666666,0.0933333333333333,1.0,4.7708866e-08,0.8933333333333333,0.1066666666666666,0.8933333333333333,0.1066666666666666,1.0,0.0,1.0
53,0.8529411764705882,0.1470588235294117,0.9999995,4.809461e-07,0.9117647058823528,0.088235294117647,0.9117647058823528,0.088235294117647,1.0,0.0,1.0
54,0.0666666666666666,0.9333333333333332,0.57635677,0.42364326,0.12,0.88,0.12,0.88,1.0,0.0,1.0
55,0.8,0.2,0.9999994,5.737766e-07,0.84,0.16,0.84,0.16,1.0,0.0,1.0
56,0.8133333333333334,0.1866666666666666,0.9998847,0.00011520483,0.84,0.16,0.84,0.16,1.0,0.0,1.0
57,0.8266666666666667,0.1733333333333333,1.0,9.248415e-09,0.8933333333333333,0.1066666666666666,0.8933333333333333,0.1066666666666666,1.0,0.0,1.0
58,0.9466666666666668,0.0533333333333333,1.0,7.993721e-09,0.9333333333333332,0.0666666666666666,0.9333333333333332,0.0666666666666666,1.0,0.0,1.0
59,1.0,0.0,1.0,1.0944998e-08,0.9866666666666668,0.0133333333333333,0.9866666666666668,0.0133333333333333,1.0,0.0,1.0
60,0.96,0.04,1.0,5.419637e-08,0.9466666666666668,0.0533333333333333,0.9466666666666668,0.0533333333333333,1.0,0.0,1.0
111,0.0,1.0,8.8561467e-07,0.99999917,0.0133333333333333,0.9866666666666668,0.0133333333333333,0.9866666666666668,0.0,1.0,2.0
112,0.2,0.8,2.3802942e-05,0.99997616,0.2666666666666666,0.7333333333333333,0.2666666666666666,0.7333333333333333,0.0,1.0,2.0
113,0.2619047619047619,0.7380952380952381,1.4252897e-06,0.99999857,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.0,1.0,2.0
114,0.0,1.0,1.807002e-07,0.99999976,0.0266666666666666,0.9733333333333334,0.0266666666666666,0.9733333333333334,0.0,1.0,2.0
115,0.2,0.8,1.1630712e-07,0.9999999,0.2133333333333333,0.7866666666666666,0.2133333333333333,0.7866666666666666,0.0,1.0,2.0
116,0.0133333333333333,0.9866666666666668,5.791489e-08,1.0,0.04,0.96,0.04,0.96,0.0,1.0,2.0
117,0.0266666666666666,0.9733333333333334,9.3885966e-08,0.9999999,0.04,0.96,0.04,0.96,0.0,1.0,2.0
118,0.04,0.96,8.339727e-08,0.9999999,0.0533333333333333,0.9466666666666668,0.0533333333333333,0.9466666666666668,0.0,1.0,2.0
119,0.0133333333333333,0.9866666666666668,2.4049004e-06,0.9999976,0.0533333333333333,0.9466666666666668,0.0533333333333333,0.9466666666666668,0.0,1.0,2.0
120,0.08,0.92,4.741178e-08,1.0,0.08,0.92,0.08,0.92,0.0,1.0,2.0
